Id: 33, Name: Lit candle, EquipId: 0
Id: 35, Name: Excalibur, EquipId: 0
Id: 48, Name: Longbow (u), EquipId: 1
Id: 49, Name: Longbow (u), EquipId: 2
Id: 50, Name: Shortbow (u), EquipId: 2
Id: 51, Name: Shortbow (u), EquipId: 1
Id: 53, Name: Headless arrow, EquipId: 3
Id: 54, Name: Oak shortbow (u), EquipId: 3
Id: 56, Name: Oak longbow (u), EquipId: 4
Id: 57, Name: Oak longbow (u), EquipId: 5
Id: 58, Name: Willow longbow (u), EquipId: 5
Id: 59, Name: Willow longbow (u), EquipId: 4
Id: 60, Name: Willow shortbow (u), EquipId: 6
Id: 61, Name: Willow shortbow (u), EquipId: 7
Id: 62, Name: Maple longbow (u), EquipId: 7
Id: 63, Name: Maple longbow (u), EquipId: 6
Id: 64, Name: Maple shortbow (u), EquipId: 8
Id: 66, Name: Yew longbow (u), EquipId: 9
Id: 68, Name: Yew shortbow (u), EquipId: 10
Id: 70, Name: Magic longbow (u), EquipId: 11
Id: 72, Name: Magic shortbow (u), EquipId: 12
Id: 74, Name: Khazard helmet, EquipId: 13
Id: 75, Name: Khazard armour, EquipId: 14
Id: 76, Name: Khazard cell keys, EquipId: 12
Id: 78, Name: Ice arrows, EquipId: 13
Id: 86, Name: Pendant of lucien, EquipId: 15
Id: 87, Name: Armadyl pendant, EquipId: 16
Id: 88, Name: Boots of lightness, EquipId: 17
Id: 89, Name: Boots of lightness, EquipId: 18
Id: 94, Name: Unfinished potion, EquipId: 16
Id: 95, Name: Unfinished potion, EquipId: 15
Id: 229, Name: Vial, EquipId: 19
Id: 230, Name: Vial, EquipId: 19
Id: 262, Name: Avantoe, EquipId: 20
Id: 264, Name: Kwuarm, EquipId: 21
Id: 272, Name: Fish food, EquipId: 20
Id: 278, Name: Cattleprod, EquipId: 21
Id: 284, Name: Plague jacket, EquipId: 22
Id: 285, Name: Plague trousers, EquipId: 23
Id: 289, Name: Goblin mail, EquipId: 25
Id: 291, Name: Notes, EquipId: 26
Id: 293, Name: A key, EquipId: 27
Id: 295, Name: Glarial's amulet, EquipId: 24
Id: 297, Name: Glarial's urn, EquipId: 29
Id: 299, Name: Mithril seeds, EquipId: 30
Id: 301, Name: Lobster pot, EquipId: 25
Id: 302, Name: Lobster pot, EquipId: 31
Id: 303, Name: Small fishing net, EquipId: 26
Id: 304, Name: Small fishing net, EquipId: 23
Id: 305, Name: Big fishing net, EquipId: 27
Id: 307, Name: Fishing rod, EquipId: 28
Id: 309, Name: Fly fishing rod, EquipId: 29
Id: 311, Name: Harpoon, EquipId: 30
Id: 314, Name: Feather, EquipId: 31
Id: 388, Name: Burnt shark, EquipId: 32
Id: 411, Name: Oyster pearl, EquipId: 32
Id: 413, Name: Oyster pearls, EquipId: 33
Id: 421, Name: Lathas' amulet, EquipId: 34
Id: 425, Name: Pigeon cage, EquipId: 36
Id: 426, Name: Priest gown, EquipId: 35
Id: 427, Name: Priest gown, EquipId: 37
Id: 428, Name: Priest gown, EquipId: 36
Id: 430, Name: Doctors' gown, EquipId: 37
Id: 433, Name: Pirate message, EquipId: 34
Id: 438, Name: Tin ore, EquipId: 35
Id: 441, Name: Iron ore, EquipId: 33
Id: 449, Name: Adamantite ore, EquipId: 42
Id: 451, Name: Runite ore, EquipId: 41
Id: 453, Name: Coal, EquipId: 40
Id: 455, Name: Barcrawl card, EquipId: 39
Id: 457, Name: Scorpion cage, EquipId: 38
Id: 466, Name: Pickaxe handle, EquipId: 38
Id: 468, Name: Broken pickaxe, EquipId: 39
Id: 470, Name: Broken pickaxe, EquipId: 40
Id: 472, Name: Broken pickaxe, EquipId: 41
Id: 474, Name: Broken pickaxe, EquipId: 42
Id: 476, Name: Broken pickaxe, EquipId: 43
Id: 478, Name: Broken pickaxe, EquipId: 44
Id: 481, Name: Bronze pick head, EquipId: 51
Id: 483, Name: Iron pick head, EquipId: 52
Id: 485, Name: Steel pick head, EquipId: 49
Id: 487, Name: Mithril pick head, EquipId: 50
Id: 489, Name: Adamant pick head, EquipId: 47
